pattern_label,count
1号:経験不足 | 攻め[2号:経験不足/3号:経験不足/4号:経験不足/5号:経験不足/6号:経験不足] | 連動[なし],3845
1号:経験不足 | 攻め[2号:経験不足/3号:経験不足/4号:経験不足/5号:経験不足/6号:攻め力なし] | 連動[なし],639
1号:粘り型 | 攻め[2号:差し型/3号:攻め力なし/4号:攻め力なし/5号:攻め力なし/6号:攻め力なし] | 連動[なし],300
1号:粘り型 | 攻め[2号:差し型/3号:まくり型/4号:攻め力なし/5号:攻め力なし/6号:攻め力なし] | 連動[なし],251
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5],218
1号:粘り型 | 攻め[2号:差し型/3号:攻め力なし/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[なし],211
1号:粘り型 | 攻め[2号:差し型/3号:まくり型/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[なし],190
1号:粘り型 | 攻め[2号:攻め力なし/3号:攻め力なし/4号:攻め力なし/5号:攻め力なし/6号:攻め力なし] | 連動[なし],176
1号:粘り型 | 攻め[2号:差し型/3号:まくり差し型/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[4->3],167
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5],158
1号:粘り型 | 攻め[2号:差し型/3号:まくり差し型/4号:攻め力なし/5号:攻め力なし/6号:攻め力なし] | 連動[なし],158
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:複合型(まくり+まくり差し)/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5],156
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり差し+まくり)/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5],152
1号:粘り型 | 攻め[2号:差し型/3号:まくり型/4号:攻め力なし/5号:まくり差し型/6号:攻め力なし] | 連動[3->5],150
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:複合型(まくり+まくり差し)/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5],144
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[4->3],140
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->5;3->5;4->3;4->5],139
1号:粘り型 | 攻め[2号:差し型/3号:まくり差し型/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[4->3;4->5],136
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり差し+まくり)/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5],136
1号:経験不足 | 攻め[2号:経験不足/3号:経験不足/4号:経験不足/5号:攻め力なし/6号:経験不足] | 連動[なし],135
