venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
karatsu,2026-06-13,1,1,吉村 誠,A1,36.4,5.4,7.87,6.65,1,0.0,1,,,52.0,0.0,2026-06-13 08:37:51,44,33.5,48.2,24,古澤 光紀,0.11,False,晴,20,24,2,14,西北西,2
karatsu,2026-06-13,1,2,信濃 由行,B1,37.23,5.44,7.73,6.72,6,-0.5,2,,,55.2,0.0,2026-06-13 08:37:51,16,49.7,67.3,2,新田 芳美,0.1,False,晴,20,24,2,14,西北西,2
karatsu,2026-06-13,1,3,木場 悠介,B1,37.03,5.53,7.63,6.68,4,0.0,3,,,51.5,0.5,2026-06-13 08:37:51,35,38.6,48.7,8,前田 滉,0.19,False,晴,20,24,2,14,西北西,2
karatsu,2026-06-13,1,4,山下 心一,B1,36.38,5.35,7.82,6.66,2,-0.5,4,,,52.0,0.0,2026-06-13 08:37:51,32,46.4,59.7,3,石田 章央,,False,晴,20,24,2,14,西北西,2
karatsu,2026-06-13,1,5,大森 翼,B1,36.67,5.39,7.8,6.67,3,0.0,5,,,52.0,0.0,2026-06-13 08:37:51,36,30.3,50.9,34,藤岡 俊介,-0.01,False,晴,20,24,2,14,西北西,2
karatsu,2026-06-13,1,6,山田 陽翔,B2,37.93,5.25,7.92,6.7,5,0.0,6,,,52.0,0.0,2026-06-13 08:37:51,25,35.6,49.4,19,前田 健太郎,0.24,False,晴,20,24,2,14,西北西,2
karatsu,2026-06-13,2,1,赤羽 克也,A2,36.64,5.26,7.73,6.73,2,0.0,1,,,52.2,0.0,2026-06-13 08:59:15,4,44.4,61.7,5,渡邉 雄朗,-0.05,True,晴,23,24,1,2,北北東,1
karatsu,2026-06-13,2,2,岡村 仁,A1,36.59,5.44,7.9,6.79,6,0.0,2,,,54.6,0.0,2026-06-13 08:59:15,17,28.6,37.1,42,堤 啓輔,-0.08,True,晴,23,24,1,2,北北東,1
karatsu,2026-06-13,2,3,佐々木 英樹,B1,37.3,5.47,7.97,6.75,4,-0.5,3,,,52.5,0.0,2026-06-13 08:59:15,21,36.4,49.4,14,冨成 謙児,0.11,True,晴,23,24,1,2,北北東,1
karatsu,2026-06-13,2,4,山口 晃朋,B1,37.3,5.47,7.8,6.71,1,0.0,4,,リング×２,52.0,0.0,2026-06-13 08:59:15,46,33.3,48.9,26,久田 武,0.01,True,晴,23,24,1,2,北北東,1
karatsu,2026-06-13,2,5,西村 仁吾,B2,37.27,5.63,7.8,6.73,2,0.0,6,,,53.2,0.0,2026-06-13 08:59:15,45,22.6,40.8,44,秋田 健太郎,0.01,True,晴,23,24,1,2,北北東,1
karatsu,2026-06-13,2,6,吉原 快誓,B2,37.93,5.5,7.77,6.76,5,-0.5,5,,電気,52.2,0.0,2026-06-13 08:59:15,53,21.2,43.1,46,須藤 隆雄,-0.06,True,晴,23,24,1,2,北北東,1
