venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
mikuni,2026-06-13,2,1,枝尾 賢,A2,37.27,5.58,6.67,6.67,2,0.0,1,,,52.5,0.0,2026-06-13 08:46:48,18,32.9,42.9,27,金子 龍斗,0.12,False,晴,22,23,2,12,西南西,2
mikuni,2026-06-13,2,2,平尾 崇典,A1,37.58,6.05,6.63,6.61,1,-0.5,2,,,49.5,2.5,2026-06-13 08:46:48,15,32.8,46.3,28,小坂 風太,0.16,False,晴,22,23,2,12,西南西,2
mikuni,2026-06-13,2,3,岩津 徹郎,B1,37.33,5.62,6.68,6.71,4,0.0,3,,,54.7,0.0,2026-06-13 08:46:48,17,40.3,53.7,13,藤森 拓海,0.12,False,晴,22,23,2,12,西南西,2
mikuni,2026-06-13,2,4,一色 凌雅,B1,37.22,5.52,6.77,6.73,6,-0.5,4,,,58.3,0.0,2026-06-13 08:46:48,36,26.6,51.6,38,長谷川 晴哉,0.19,False,晴,22,23,2,12,西南西,2
mikuni,2026-06-13,2,5,岸蔭 亮,B1,38.47,6.05,6.7,6.72,5,-0.5,5,,,52.9,0.0,2026-06-13 08:46:48,44,46.6,65.5,2,野村 誠,0.08,False,晴,22,23,2,12,西南西,2
mikuni,2026-06-13,2,6,早川 理稀,B2,37.53,5.82,6.77,6.69,3,0.0,6,,,53.6,0.0,2026-06-13 08:46:48,48,34.3,43.3,23,水谷 理人,0.16,False,晴,22,23,2,12,西南西,2
mikuni,2026-06-13,3,1,長尾 章平,A1,37.6,6.22,6.67,6.69,6,-0.5,1,,,53.2,0.0,2026-06-13 09:12:40,53,36.5,55.6,21,中本 大樹,0.07,False,晴,23,23,2,12,西南西,2
mikuni,2026-06-13,3,2,眞崎 武蔵,B2,37.97,6.05,6.75,6.66,5,0.0,2,,,52.3,0.0,2026-06-13 09:12:40,27,37.9,53.0,17,西川 拓利,0.07,False,晴,23,23,2,12,西南西,2
mikuni,2026-06-13,3,3,乙藤 智史,A2,37.72,5.85,6.67,6.61,2,0.0,3,,,54.4,0.0,2026-06-13 09:12:40,51,45.2,67.7,5,小林 文彦,0.12,False,晴,23,23,2,12,西南西,2
mikuni,2026-06-13,3,4,幸野 史明,B1,37.05,5.65,6.63,6.58,1,0.0,4,,,52.2,0.0,2026-06-13 09:12:40,55,41.4,55.2,10,大澤 誠也,0.12,False,晴,23,23,2,12,西南西,2
mikuni,2026-06-13,3,5,大久保信一郎,B1,37.3,5.58,6.68,6.61,2,0.0,5,,,52.0,0.0,2026-06-13 09:12:40,38,28.6,44.4,33,濱野 斗馬,0.23,False,晴,23,23,2,12,西南西,2
mikuni,2026-06-13,3,6,川北 浩貴,B1,37.83,5.92,6.68,6.64,4,-0.5,6,,,52.0,0.0,2026-06-13 09:12:40,54,44.6,57.1,6,江本 真治,0.08,False,晴,23,23,2,12,西南西,2
