venue,date,race,frame,racer,grade,lap1,mawari,chokusen,tenji,tenji_rank,tilt,course,is_normal_course,parts_exchange,weight,weight_adjust,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user,start_timing,has_start_change,weather,weather_degree,water_degree,wind_speed,wind_direction,wind_direction_text,wave_height
naruto,2026-06-13,1,1,池田 雄一,A1,36.63,5.57,6.87,6.8,3,0.0,1,,,52.6,0.0,2026-06-13 08:37:54,31,43.9,68.3,7,木村 亮太,0.18,True,曇り,22,22,0,17,不明,1
naruto,2026-06-13,1,2,下田 哲也,B1,37.2,6.07,7.1,6.75,1,0.0,2,,,54.5,0.0,2026-06-13 08:37:54,34,28.3,39.1,22,門田 栞,0.22,True,曇り,22,22,0,17,不明,1
naruto,2026-06-13,1,3,東 潤樹,B1,37.7,5.77,7.07,6.9,6,0.0,3,,,52.9,0.0,2026-06-13 08:37:54,72,28.6,40.0,21,山地 正樹,0.11,True,曇り,22,22,0,17,不明,1
naruto,2026-06-13,1,4,高橋 二朗,B1,36.83,6.1,7.03,6.86,4,0.0,4,,,52.0,0.0,2026-06-13 08:37:54,36,12.2,19.5,44,菊池 宏志,0.17,True,曇り,22,22,0,17,不明,1
naruto,2026-06-13,1,5,薗頭 心,B2,37.17,5.9,6.97,6.78,2,-0.5,6,,,47.0,0.0,2026-06-13 08:37:54,69,26.7,36.7,25,佐々木 大河,0.33,True,曇り,22,22,0,17,不明,1
naruto,2026-06-13,1,6,小林 孝弘,B1,36.73,5.43,7.17,6.87,5,-0.5,5,,,52.0,0.0,2026-06-13 08:37:54,39,17.1,41.5,41,土屋 蘭,0.09,True,曇り,22,22,0,17,不明,1
naruto,2026-06-13,2,1,富田 恕生,B1,36.37,5.83,7.07,6.86,5,0.0,1,,,52.1,0.0,2026-06-13 09:02:06,13,16.2,40.5,42,佐野 優都,0.16,False,晴,23,22,1,5,東,1
naruto,2026-06-13,2,2,南 彩寧,B1,37.37,6.13,6.97,6.78,1,0.0,2,,,48.4,0.0,2026-06-13 09:02:06,24,42.1,50.0,8,上田 健太,0.06,False,晴,23,22,1,5,東,1
naruto,2026-06-13,2,3,福来 剛,A1,36.5,5.77,7.07,6.84,3,-0.5,3,,,52.0,0.0,2026-06-13 09:02:06,29,58.5,63.4,3,竹之内 極,0.08,False,晴,23,22,1,5,東,1
naruto,2026-06-13,2,4,羽田 妃希,B1,37.37,5.67,7.3,6.85,4,-0.5,4,,,47.0,0.0,2026-06-13 09:02:06,21,20.6,38.2,35,荒牧 凪沙,0.05,False,晴,23,22,1,5,東,1
naruto,2026-06-13,2,5,寺田 夢生,B2,37.87,6.17,7.13,6.8,2,0.0,5,,,46.0,1.0,2026-06-13 09:02:06,20,33.3,48.7,15,鈴木 賢一,0.06,False,晴,23,22,1,5,東,1
naruto,2026-06-13,2,6,佐藤 太亮,B1,37.1,5.77,7.3,6.86,5,0.0,6,,,51.5,0.5,2026-06-13 09:02:06,73,17.9,51.3,39,中田 元泰,0.09,False,晴,23,22,1,5,東,1
